rank,symbol,name,signal_date,last_bar_date,sample_count,expected_return_5d,probability_up_5d,train_window_5d,ridge_alpha_5d,validation_mae_5d,validation_direction_accuracy_5d,expected_return_10d,probability_up_10d,train_window_10d,ridge_alpha_10d,validation_mae_10d,validation_direction_accuracy_10d
2199,601228,广州港,2026-07-14,2026-07-14,518,-0.0323706659131456,0.08333333333333333,180,0.1,0.020200662557521235,0.5,-0.05817654239128351,0.016666666666666666,180,0.1,0.023956749803833048,0.65
2200,600882,妙可蓝多,2026-07-14,2026-07-14,518,-0.03239369402700034,0.26666666666666666,120,10.0,0.05727334487557352,0.5166666666666667,-0.056772923678376955,0.26666666666666666,120,10.0,0.06347795553475227,0.6
2201,601068,中铝国际,2026-07-14,2026-07-14,518,-0.03240598388637585,0.016666666666666666,120,10.0,0.05136875733921863,0.45,-0.09598848679711483,0.0,120,10.0,0.07799150971742537,0.5333333333333333
2202,600352,浙江龙盛,2026-07-14,2026-07-14,518,-0.03240696676391104,0.15,240,10.0,0.0405267639297496,0.65,-0.0812344987608557,0.11666666666666667,240,10.0,0.06543167336885372,0.5
2203,000915,华特达因,2026-07-14,2026-07-14,518,-0.032457837481277,0.08333333333333333,120,10.0,0.028286126528484716,0.5833333333333334,-0.0775027940386849,0.0,120,10.0,0.03645562962097412,0.65
2204,002551,尚荣医疗,2026-07-14,2026-07-14,518,-0.03246864238924969,0.18333333333333332,120,10.0,0.031710324146033586,0.7166666666666667,-0.03810933651396248,0.23333333333333334,120,1.0,0.04732331434461221,0.6833333333333333
2205,000931,中 关 村,2026-07-14,2026-07-14,518,-0.03247741989001342,0.13333333333333333,120,10.0,0.03871712778584683,0.5166666666666667,-0.042452323937572554,0.2,120,0.1,0.05656796793831608,0.6
2206,603912,佳力图,2026-07-14,2026-07-14,518,-0.03248394578187178,0.23333333333333334,240,10.0,0.061875629231753534,0.5666666666666667,-0.03793911557988501,0.31666666666666665,240,0.1,0.09259905959383567,0.5333333333333333
2207,000981,山子高科,2026-07-14,2026-07-14,518,-0.032524623511037284,0.11666666666666667,120,10.0,0.06963436768574874,0.5,-0.05651077425878064,0.016666666666666666,120,0.1,0.104042168877188,0.48333333333333334
2208,600893,航发动力,2026-07-14,2026-07-14,518,-0.03254046344081818,0.21666666666666667,120,1.0,0.04817485848526368,0.6833333333333333,-0.06709387764607014,0.06666666666666667,120,10.0,0.06517537474741558,0.6
